id,제목,요약,시도,시군구,주제,세부주제,문화원,태그,키워드,썸네일,주소,위도,경도,출판년도,저작권,멀티미디어수,원문URL,수집council
3459,시장에서 사용하던 다양한 용어들 1,"시장 안에는 다양한 형태의 사람들이 모이고, 그 사람들이 나름의 역할들을 하며 운영된다. 그렇기에 다른 공동체와 마찬가지로 시장 안에서만 통용되는 언어들도 존재한다. 이들 언어들은 주로 상행위와 관련한 것들로 시장 생활의 단면을 엿볼 수 있다.",전국,,문헌과 문학작품에 표현된 시장,시장에서 사용하던 구비단문,한국문화원연합회,"조선시대, 시장 관련 용어","시장, 상인, 상거래, 용어, 옛말, 상업용어",,,,,,,0,https://ncms.nculture.org/market/story/3459,한국문화원연합회
3462,새롭게 형성된 문화관광형시장,"'문화관광형시장'이란 사라져 가는 전통시장을 되살리기 위해 중소기업청과 소상공인시장진흥공단이 지원하는 전통시장 육성사업이다. 2008년 인천 송현시장, 주문진 수산시장, 충남 부여시장, 제주 동문시장의 지원을 시작으로 현재까지 꾸준히 이어지고 있으며, 현재까지 190개의 시장이 선정되어 문화관광이 접목된 시장으로 육성되고 있다.",전국,,한국 시장의 형성과 변화,시대에 따른 시장의 변화,한국문화원연합회,현대시장의 특징,"전통시장, 문화관광형시장, 전통시장법, 중소기업청, 소상공인시장진흥공단",,,,,,,0,https://ncms.nculture.org/market/story/3462,한국문화원연합회
3475,시장을 흥청거리게 하는 장돌뱅이의 장타령,"「장타령」은 장타령꾼들이 장터를 흥청거리게 하고 물건을 팔기 위해 부르던 노래였다. ‘장돌뱅이’들은 전국의 지역 장터를 다니며 각 지역의 내력이나 특징, 명물, 고사 등을 엮어서 사설을 만들어 「장타령」을 불렀다. ‘장돌뱅이’들이 부르는 「장라텽」은 장터의 흥겨운 분위기를 연출하고, 물건을 사거나 팔러 장터에 나오는 사람들에게 웃음을 주었던 노래이다.",전국,,문헌과 문학작품에 표현된 시장,시장을 배경으로 한 시와 노래,한국문화원연합회,"타령, 장돌뱅이, 시장 생활 모습","시장, 장터, 보부상, 오일장, 장타령, 장돌뱅이",,,,,,,0,https://ncms.nculture.org/market/story/3475,한국문화원연합회
3478,중개인 ‘여리꾼’과 그들의 은어 변어(邊語),"여리꾼은 서울의 시전(市廛) 주변에서 활동하는 거간의 한 부류다. 그들은 물건을 사고파는 거래뿐만 아니라 “토지와 가옥 등의 부동산, 금전 대차(貸借), 전당(典當), 사용권(使用權) 등의 매개(媒介)와 선박거간, 어음 거간” 등에 이르기까지 업무활동의 범위가 광범위하고 종류도 여러 가지다. 여리꾼은 ‘열립(列立)꾼’이 변해서 된 말로, 일정한 소속 없이 자유스러운 처지에서 위탁을 받으며, 물건을 매매할 때 그들만의 언어를 사용한다.&nbsp;",전국,,한국 시장의 구성과 운영,한국 전통시장에서의 거래방식,한국문화원연합회,"전통시장, 조선시대 시장 거래방식","시장, 거간, 중개인, 여리꾼, 변어",,,,,,,0,https://ncms.nculture.org/market/story/3478,한국문화원연합회
3479,시대의 변화로 사라진 상인 명칭,"장사를 업으로 하는 사람을 흔히 상인(商人)이라고 한다. 우리나라에는 상인을 일컫는 명칭이 다양하다. 개성상인처럼 상행위 지역에 따라서 명칭을 부르기도 하고, 시전상인처럼 상인 형태에 따라서 부르기도 한다. 상인 명칭 가운데는 시대의 변화로 인해 판매 행위가 변하면서 지금은 사라진 명칭들도 있다.",전국,,문헌과 문학작품에 표현된 시장,시장에서 사용하던 구비단문,한국문화원연합회,"시장 생활 모습, 시장의 역사","시장, 상인, 행상, 장수, 상나라",,,,,,,0,https://ncms.nculture.org/market/story/3479,한국문화원연합회
3480,조선시대에 불법이었던 난전,난전(亂廛)은 물건을 사고파는 행위에 대해서 국가로부터 허가를 받지 않고 판매하는 '행위'나 '시설'을 가리킨다. 조선시대에는 국역(國役)의 의무를 지니고 있는 육의전과 시전 등에 일부 상품을 독점해서 판매할 수 있는 특권인 금난전권(禁亂廛權)을 부여해 주었다. 그리고 국가의 허락 없이 상행위를 하는 것을 ‘난전’이라 하고 불법으로 간주하였다.,전국,,한국 시장의 구성과 운영,한국 전통시장에서의 거래방식,한국문화원연합회,"금난전권, 조선시대 시장","조선시대, 시장, 육의전, 금난전권, 시전, 난전",,,,,,,0,https://ncms.nculture.org/market/story/3480,한국문화원연합회
3450,한국 시장의 형성과 변화,"시장의 기능은 시대에 따라 조금씩 다른 변화를 보이고 있다. 과거에는 주로 물물을 교환하는 장소로서 기능하였고, 조선시대에는 상품 거래뿐만 아니라 정보교환, 사교, 오락, 정치적 집회 등이 이루어지던 공간이기도 하였다. 오늘날에는 경제적 기능뿐만 아니라 다양한 문화가 형성되고 공유되는 ‘문화 공간’으로 활용되고 있다. 한편 시장의 종류는 기준에 따라 여러 가지로 나눌 수 있는데, 현재의 한국시장은 『유통산업발전법』(2009)에 따라 ①대규모 점포, ②상점가, ③전문상가단지, ④체인사업, ⑤정기시장・임시시장, ⑥무점포판매로 구분하고 있다.",전국,,한국 시장의 형성과 변화,한국 시장의 형성과 기능,한국문화원연합회,"물물교환, 전통시장의 형성과 기능","시장, 시장의 기능, 물물교환, 상품거래, 문화 공간, 시장규칙, 시장법, 유통산업발전법, 재래시장 및 상점가 육성을 위한 특별법",https://minio.nculture.org/amsweb-opt/multimedia_assets/54/25309/7272/c/25309-thumb.jpg,,,,2018.0,한국문화원연합회,3,https://ncms.nculture.org/market/story/3450,한국문화원연합회
3456,힘 있는 선으로 표현된 이두호 만화 『객주』,만화를 보는 독자들은 그림을 통해 시각적으로 감성에 자극을 받고 문자를 통해 그 의미를 명확하게 받아들인다. 보부상을 소재로 한 김주영의 소설 『객주』도 이두호 만화가에 의해 그림과 문자로 재탄생 되었다. 만화 『객주』는 섬세하면서도 힘이 넘치는 선이 어떻게 만화적 재미를 만들어내는지를 잘 보여준다.,전국,,문헌과 문학작품에 표현된 시장,시장을 배경으로 한 이야기,한국문화원연합회,"보부상, 객주, 만화","시장, 보부상, 객주, 만화, 이두호",https://minio.nculture.org/amsweb-opt/multimedia_assets/62/25389/10587/c/25389-thumb.jpg,,,,2018.0,한국만화박물관,1,https://ncms.nculture.org/market/story/3456,한국문화원연합회
3406,보부상과 보부상 조직의 형성,"'보부상'은 조선 시대부터 지방의 정기시장을 장악했던 전문적인 상인 집단으로 취급 물품에 따라 '보상'과 '부상'으로 나뉜다. 보부상은 전국의 다니는 행상에서 비롯됐으며, 부상의 경우는 조선 초 부상청이 만들어지면서 조직화 되었고, 보상은 1879년 조직화 되었다. 이후 1883년 혜상공국이 만들어지면서 하나로 합쳐졌다.",전국,,한국 시장의 구성과 운영,한국의 전문 상인 집단 보부상,한국문화원연합회,"이성계, 보부상","보부상, 행상, 보상, 부상, 도사",,,,,,,0,https://ncms.nculture.org/market/story/3406,한국문화원연합회
3410,시장에서 사용하던 다양한 용어들 3,"시장 안에는 다양한 형태의 사람들이 모이고, 그 사람들이 나름의 역할들을 하며 운영된다. 그렇기에 다른 공동체와 마찬가지로 시장 안에서만 통용되는 언어들도 존재한다. 이들 언어들은 주로 상행위와 관련한 것들로 시장 생활의 단면을 엿볼 수 있다.",전국,,문헌과 문학작품에 표현된 시장,,한국문화원연합회,"시장 관련 용어, 조선시대 시장","시장, 상인, 상거래, 용어, 옛말, 상업용어",,,,,,,0,https://ncms.nculture.org/market/story/3410,한국문화원연합회
