place_id,canonical_name,lat,lng,address,category,sub_category,keywords,district,image_url,source_url,source,location_confidence
POI_15513C41,(재)한원미술관,37.4817811288984,127.015435697895,"서울특별시 서초구 남부순환로 2423, 한원빌딩 본관 B1F",미술관/갤러리,,,서초구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e4880c38b89f4c5ab51d693613b6a208&thumb=Y,http://hanwon.org,서울시문화공간,A
POI_28BBB2C5,104고지,37.5678393,126.9261134,,지명,,,,,,서울역사편찬원,C
POI_BBB0D81F,17717,37.5911362215001,127.004400808532,서울 성북구 성북로8길 11 B1,미술관/갤러리,,,성북구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6c30f8376ecd4aa4b4ccf429b69d205e&thumb=Y,http://17717.co.kr/,서울시문화공간,A
POI_8F69E92B,1950년대 시장의 아낙네들을 판화로 담은 빌리 세일러,37.5808477574564,126.9768513578,서울특별시 종로구 세종로 1-1,그림으로 보는 한국의 전통시장,상인을 그린 작가,"시장, 어시장, 동판화, 빌리세일러, 에칭",종로구,https://minio.nculture.org/amsweb-opt/multimedia_assets/193/85116/84492/c/%EB%B9%8C%EB%A6%AC-%EC%84%B8%EC%9D%BC%EB%9F%AC_%EB%8B%A4%EC%83%89%EB%8F%99%ED%8C%90%ED%99%94%281%29_%EA%B5%AD%EB%A6%BD%EB%AF%BC%EC%86%8D%EB%B0%95%EB%AC%BC%EA%B4%80_%EC%A0%9C1%EC%9C%A0%ED%98%95-thumb.jpg,https://ncms.nculture.org/market/story/7107,nculture,
POI_03F19C7D,1인미디어콤플렉스,37.5578385325826,126.9744151,서울 중구 세종대로 14 GRAND CENTRAL A동 5F,기타,,,중구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3958252b648d446780b7d42ff02ec9f1&thumb=Y,https://meplex.co.kr/,서울시문화공간,A
POI_01611C19,2ND AVENUE GALLERY,37.555139463911,126.994911633545,서울특별시 중구 필동로8길 22,미술관/갤러리,,,중구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101263&thumb=Y,http://www.gallery2ndave.com/gallery/about,서울시문화공간,A
POI_25390B2A,3*1고가도로,37.568320,126.987512,,지명,,,,,,서울역사편찬원,C
POI_5B44AD18,4*19길,37.647258,127.010052,,지명,,,,,,서울역사편찬원,C
POI_0F789174,57th갤러리,37.5764227904413,126.982592565586,"서울 종로구 율곡로3길 17 2층, 지하",미술관/갤러리,,,종로구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fe144b99d516421282c1e88cb7b1018d&thumb=Y,http://www.57gallery.co.kr/,서울시문화공간,A
POI_5550F103,88올림픽도로,37.5202036,127.0636546,,지명,,,,,,서울역사편찬원,C
POI_3B353148,ADM 갤러리,37.493208661734,127.035638210136,서울특별시 강남구 역삼로14길 20,미술관/갤러리,,,강남구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=372f7ac47341428b86e646bd131a4d49&thumb=Y,https://www.admgallery.co.kr/,서울시문화공간,A
POI_045E1CD8,ALT SPACE,37.5577104175282,126.984917948957,서울특별시 중구 퇴계로18길 77,기타,,,중구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f86bb7da17654ed2bd1866f6e0bbd206&thumb=Y,https://alt9.xyz/,서울시문화공간,A
POI_1155CE4F,ANDNEW GALLERY(앤드뉴 갤러리),37.5588656635722,126.940066426045,서울특별시 서대문구 명물길 70 B1,미술관/갤러리,,,서대문구,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6adef6460af244afa0fda914243fcbbe&thumb=Y,https://www.instagram.com/andnewgallery/,서울시문화공간,A
