"°íÀ¯¹øÈ£","¾ğ¾î","»óÈ£¸í","ÄÜÅÙÃ÷URL","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈŞ¹«ÀÏ","±³ÅëÁ¤º¸"
"43385","zh-CN","?Í¢ß£ßæ?â©?Íë?","https://chinese.visitseoul.net/nature/CheonggyesanStreamWatersidePark/CNPv3l77y?utm_source=seoulopendata&utm_medium=nature&utm_content=CNPv3l77y"," âÏ?ã¼ßúõ®?ãæê¹Ô×283-1? ","06802 âÏ?ã¼ ßúõ®? ?Í¢ß£ÖØ9Ê¶ 1-15 ","","","","","","ò¢?ãæİÎÓĞ? ?Í¢ß£ó× 1?õóÏ¢,  399m"
"3601","en","Dobongsan Mountain","https://english.visitseoul.net/nature/DobongsanMountain/ENP003598?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP003598","132-010 Dobong-dong, Dobong-gu, Seoul ","132-010 Dobong-dong, Dobong-gu, Seoul ","+82-2-954-2566","https://tour.dobong.go.kr/Contents.asp?code=10006251","Daily 07:30 - 18:00 (March - October) Daily 08:00 - 17:00 (November - February)","","","Subway Lines 1/7  Dobongsan Station  Exit 1,  552m "
"24125","en","Eungbong Rock Climbing Park","https://english.visitseoul.net/nature/Eungbong-Rock-Climbing-Park/ENP001605?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP001605","133-080 269-4, Eungbong-dong, Seongdong-gu, Seoul ","04742 13-1, Dokseodang-ro 60-gil, Seongdong-gu, Seoul ","+82-2-2286-5674","","","","","Subway Gyeongui-Jungang Line  Eungbong Station  Exit 1,  668m"
"24008","en","Gamrocheon Ecological Park","https://english.visitseoul.net/nature/Gamrocheon-Ecological-Park/ENP002263?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP002263","153-815 371-375, 373, Doksan 4(sa)-dong, Geumcheon-gu, Seoul ","08556 188, Doksan-ro 54-gil, Geumcheon-gu, Seoul ","+82-2-2627-1655","http://parks.seoul.go.kr/parks/detailView.do?pIdx=39","","","","Subway Sillim Line/Line 2  Sillim Station  Exit 4,  take Gwanak 10 Village Bus, get off at Acacia Village/Civil Defense Training Center Stop (494m)"
"24154","en","Gangseo Marsh Ecological Park","https://english.visitseoul.net/nature/Gangseo-Marsh-Ecological-Park/ENP001411?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP001411"," 47, Banghwa-dong, Gangseo-gu, Seoul ","07518 279-23, Yangcheon-ro 27-gil, Gangseo-gu, Seoul ","+82-2-3780-0621","https://hangang.seoul.go.kr/www/contents/675.do?mid=482"," For detailed information, such as participant numbers, application methods, and program details, please refer to the Seoul Public Service Reservation Site.   ","","","Subway Line 5  Banghwa Station  Exit 1,  2km "
"1792","en","Dosan Park","https://english.visitseoul.net/nature/Dosan-Park/ENP001789?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP001789","135-120 649-9, Sinsa-dong, Gangnam-gu, Seoul ","06020 20, Dosan-daero 45-gil, Gangnam-gu, Seoul ","","","Dosan Ahn Chang-ho Memorial Hall: Open daily from 10:00 to 18:00","","","Subway Line 3  Apgujeong Station  Exits 2/3,  882m "
"4821","en","Dream Forest","https://english.visitseoul.net/nature/Dream-Forest/ENP004820?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP004820"," Wolgye-ro, Gangbuk-gu, Seoul 173"," 173, Wolgye-ro, Gangbuk-gu, Seoul ","+82-2-2289-4000","http://parks.seoul.go.kr/template/sub/dreamforest.do","Daily 00:00 - 24:00","","","Subway Line 6  Dolgoji  Station  Exit 3,  1.5km "
"4063","en","Gildong Ecological Park","https://english.visitseoul.net/nature/Gildong-Ecological-Park/ENP004063?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP004063","134-060 558, Dunchon-dong, Gangdong-gu, Seoul ","134-060 1298, Cheonho-daero, Dunchon-dong, Gangdong-gu, Seoul ","+82-2-472-2770","http://parks.seoul.go.kr/gildong"," Tue-Sun 09:00-16:00 (KST)","","Closed Mondays","Subway Line 5  Gildong Station  Exit 2,  1.4km"
"29935","en","Ichon Hangang Park","https://english.visitseoul.net/nature/Ichon-Hangang-Park/ENP003617?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP003617","140-031 302-17, Ichon-dong, Yongsan-gu, Seoul ","04427 62, Ichon-ro 72-gil, Yongsan-gu, Seoul ","+82-2-3780-0551","https://hangang.seoul.go.kr/archives/46695","","","","Subway Line 4/Gyeongui-Jungang Line  Ichon Station  Exit 4,  1.2km"
"3844","en","Inwangsan Mountain","https://english.visitseoul.net/nature/Inwangsan-Mountain/ENP003840?utm_source=seoulopendata&utm_medium=nature&utm_content=ENP003840","110-080 San 2, Muak-dong, Jongno-gu, Seoul ","110-080 20, Tongil-ro 18ga-gil, Jongno-gu, Seoul ","+82-2-2148-2834","","","Daily","","Subway Line 3  Dongnimmun Station  Exit 3-1,  825m "
